City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,waingapu,-9.6567,120.2641,29.54,72,97,3.76,ID,1708651767
253,port sudan,19.6175,37.2164,21.79,78,100,3.37,SD,1708651767
254,upington,-28.4478,21.2561,23.21,15,0,3.71,ZA,1708651767
255,bowling green,36.9903,-86.4436,13.41,96,100,3.2,US,1708651771
256,nova vicosa,-17.8919,-39.3719,25.71,90,100,4.08,BR,1708651771
257,iligan,8.2282,124.2412,27.45,82,100,0.9,PH,1708651772
258,berdigestyakh,62.0989,126.6992,-25.38,100,100,1.83,RU,1708651772
259,lillehammer,61.1146,10.4674,2.49,99,100,2.09,NO,1708651772
260,kuala belait,4.5833,114.1833,28.09,77,14,0.24,BN,1708651772
261,fort st. john,56.2499,-120.8529,4.94,45,75,7.2,CA,1708651551
262,grand baie,-20.0182,57.5802,25.81,93,100,8.16,MU,1708651772
263,lake hallie,44.8758,-91.4407,7.01,67,0,3.6,US,1708651772
264,vilyuysk,63.7553,121.6247,-31.67,100,100,1.34,RU,1708651772
265,hermanus,-34.4187,19.2345,14.33,74,9,4.59,ZA,1708651772
266,marcos juarez,-32.6978,-62.1067,19.98,55,14,4.65,AR,1708651773
267,smithers,54.7804,-127.1743,2.18,64,40,1.54,CA,1708651773
268,smederevska palanka,44.3655,20.9589,6.86,70,100,3.25,RS,1708651773
269,kiunga,-6.1219,141.2906,30.79,66,83,2.13,PG,1708651773
270,klyuchi,52.2667,79.1667,-24.14,84,65,3.52,RU,1708651773
271,lompoc,34.6391,-120.4579,16.68,70,0,5.14,US,1708651563
272,sauk rapids,45.5919,-94.1661,3.53,70,0,4.12,US,1708651773
273,recani,31.2846,-4.2688,14.61,19,7,1.01,MA,1708651773
274,ulsteinvik,62.3432,5.8487,8.5,88,100,0.89,NO,1708651773
275,portalegre,39.2938,-7.4312,5.47,87,84,3.59,PT,1708651773
276,tarariras,-34.2833,-57.6167,23.42,81,73,3.99,UY,1708651774
277,akureyri,65.6835,-18.0878,-0.04,86,0,2.57,IS,1708651774
278,ciudad lazaro cardenas,17.9583,-102.2,24.54,78,0,3.29,MX,1708651774
279,constantia,44.1833,28.65,4.38,83,100,6.4,RO,1708651774
